schedule,seed,event_count,declared_horizon,last_event_time,failures,first_failure_event,n_f,mean_collision_burden,peak_collision_burden,damage_auc,peak_damage,final_event_damage,adjacent_conflict_count,conflicting_pair_count
random_sparse_b,6229,20,69,69,1,15,15,0.7111626325,2.2959528232,7.838603443,0.7980969042,0.6343737487,4,64
ulam_spaced,6229,20,69,69,1,15,15,0.696355923,1.5,7.9304979177,0.6654126793,0.4151616446,4,64
conflict_aware,6229,20,69,69,1,15,15,0.6839365317,1.4203928162,8.6156566764,0.7427162653,0.2640790249,4,64
clustered,6230,20,69,20,5,5,5,3.0440527904,6.4536130441,46.0253619152,4.7500420311,4.7500420311,8,65
random_sparse_a,6230,20,69,69,3,5,5,1.3030942325,4.3553165335,12.3731743738,1.5296691597,1.5296691597,8,65
random_sparse_b,6230,20,69,69,1,17,17,1.0587434212,2.5018078867,11.3353636202,0.9621199374,0.4952171759,8,65
ulam_spaced,6230,20,69,69,2,5,5,1.188177827,4.0820271601,12.9474132732,1.3259654977,0.4422403008,8,65
conflict_aware,6230,20,69,69,1,17,17,0.9085987537,1.6597539554,9.9431260162,0.7983057446,0.5163884566,8,65
clustered,6231,20,69,20,6,3,3,2.3819755328,5.2584198771,38.3089154728,3.7156392172,3.7156392172,3,61
random_sparse_a,6231,20,69,69,2,17,17,0.7461279121,2.5958124,8.5772828209,0.8372086816,0.7000352669,3,61
random_sparse_b,6231,20,69,69,1,20,20,0.7789259793,2.7310435301,9.0454819002,0.7615876109,0.5541673009,3,61
ulam_spaced,6231,20,69,69,3,3,3,0.8315328975,3.1525039914,10.0299816885,0.9778586264,0.3266450258,3,61
conflict_aware,6231,20,69,69,3,3,3,0.6041332889,1.3243491775,7.6960270192,0.5517361623,0.4049952424,3,61
clustered,6232,20,69,20,5,4,4,2.4971679142,5.2961802049,42.2060161072,3.6644051131,3.6644051131,9,69
random_sparse_a,6232,20,69,69,1,5,5,0.8654602088,3.3209409925,9.0866190075,0.9063318463,0.6129677419,9,69
random_sparse_b,6232,20,69,69,2,5,5,1.0788017814,3.5170054902,13.3635300909,1.2962933988,0.5169717464,9,69
ulam_spaced,6232,20,69,69,3,4,4,1.114450413,3.5389528909,11.9562387197,1.3741523976,0.2638538039,9,69
conflict_aware,6232,20,69,69,1,5,5,0.712497958,1.5889005025,8.0144732717,0.5607929675,0.5607929675,9,69
clustered,6233,20,69,20,7,6,6,3.1867674798,6.933224184,46.4400846389,5.0860219513,5.0860219513,5,82
random_sparse_a,6233,20,69,69,5,6,6,1.0442456262,3.4910041274,10.0431723856,0.9987204413,0.7868089808,5,82
random_sparse_b,6233,20,69,69,4,6,6,1.0666498673,2.5011394196,10.8018212317,1.1264464928,0.7004531442,5,82
ulam_spaced,6233,20,69,69,4,6,6,1.116437633,3.2737793153,11.8509559319,1.1792727379,0.4367660911,5,82
conflict_aware,6233,20,69,69,4,6,6,0.9231394495,2.1805404191,9.9260830713,0.7546213499,0.4434158814,5,82
clustered,6234,20,69,20,7,5,5,3.5184197758,7.8611594062,59.5111424491,5.2553656923,4.7709966896,7,67
random_sparse_a,6234,20,69,69,5,5,5,1.4534563371,3.7981506947,14.8205613644,1.6370707995,0.7498366887,7,67
random_sparse_b,6234,20,69,69,4,5,5,1.4327447198,4.3619225327,16.0967092173,1.6955028262,0.4033329099,7,67
ulam_spaced,6234,20,69,69,4,5,5,1.7064498707,4.778583824,17.5042986965,1.8716000791,0.3243172385,7,67
conflict_aware,6234,20,69,69,3,5,5,1.0837555144,2.3828014879,11.2604628042,0.9204097659,0.5806988525,7,67
clustered,6235,20,69,20,5,4,4,2.1366936507,4.9793009184,36.1155567821,3.2721988453,3.2721988453,2,57
random_sparse_a,6235,20,69,69,3,4,4,0.5904438372,1.7230475325,7.1173987851,0.6483415182,0.3332134169,2,57
random_sparse_b,6235,20,69,69,3,4,4,0.6210747328,3.1435138215,7.4265996318,0.9463795689,0.3626933204,2,57
ulam_spaced,6235,20,69,69,3,4,4,0.7361604797,2.8367595428,9.4213766307,1.146549019,0.220998804,2,57
conflict_aware,6235,20,69,69,1,12,12,0.4725362398,1.0057805173,6.4069411436,0.5787542092,0.4811655671,2,57
clustered,6236,20,69,20,6,2,2,3.7512924472,9.9418055254,52.4965100459,6.2743295641,6.0153538411,8,78
random_sparse_a,6236,20,69,69,2,2,2,1.065106788,3.4473520713,10.3099237991,0.9868763526,0.8045418846,8,78
random_sparse_b,6236,20,69,69,3,2,2,1.3114177857,4.9957965766,12.5262094972,1.4455678209,0.788635224,8,78
ulam_spaced,6236,20,69,69,3,2,2,1.1967892693,3.0061694744,12.0138280738,1.1358646862,0.4363383288,8,78
conflict_aware,6236,20,69,69,2,2,2,1.0885111095,2.7396309331,12.0181854872,1.0874794417,0.3611280188,8,78
clustered,6237,20,69,20,3,7,7,2.8001419954,8.0503133307,36.4178366319,4.9812295017,4.9812295017,9,75
random_sparse_a,6237,20,69,69,1,7,7,1.0232281071,3.1132864975,9.5567805531,0.927957367,0.927957367,9,75
random_sparse_b,6237,20,69,69,0,,21,1.2877991763,6.1217937648,10.000241751,2.1019999769,2.1019999769,9,75
ulam_spaced,6237,20,69,69,0,,21,1.0441519477,2.3496080344,9.6064442158,0.823396336,0.6472423678,9,75
conflict_aware,6237,20,69,69,1,14,14,0.8960541006,1.9604627057,10.0639702714,0.797137171,0.3541600213,9,75
clustered,6238,20,69,20,3,8,8,2.383616077,6.5150901782,37.3545184244,3.8818430413,3.8063131928,4,58
random_sparse_a,6238,20,69,69,3,8,8,0.8874327185,3.2550919328,11.3001537138,1.3743567689,0.8264341596,4,58
random_sparse_b,6238,20,69,69,3,8,8,0.9664474271,2.8987852612,12.1718594059,1.2319941107,1.2078637182,4,58
ulam_spaced,6238,20,69,69,3,8,8,0.6982873394,1.875,7.7979073479,0.7726751417,0.2689892034,4,58
conflict_aware,6238,20,69,69,3,8,8,0.5949232154,1.3816261453,6.7695775974,0.5645640724,0.4563314805,4,58
clustered,6239,20,69,20,10,4,4,3.4175893848,8.6179588521,54.6853422656,5.7094637536,4.9438737518,7,80
random_sparse_a,6239,20,69,69,5,4,4,1.0165243573,3.1038039617,10.5431360617,0.9066942784,0.681929792,7,80
random_sparse_b,6239,20,69,69,5,4,4,1.0579944224,2.3557745244,10.9539868681,0.9676937,0.5962814287,7,80
ulam_spaced,6239,20,69,69,5,4,4,1.1557278024,3.3113200909,12.2598101445,1.0648041479,0.266635353,7,80
conflict_aware,6239,20,69,69,5,4,4,0.903547263,1.7309905034,9.689856023,0.783532175,0.4916885498,7,80
clustered,6240,20,69,20,8,6,6,2.3277265262,5.2811296216,34.9468264386,3.8779527659,3.8779527659,7,62
random_sparse_a,6240,20,69,69,1,6,6,0.8293855158,2.8267474953,8.255231451,0.9445294118,0.9445294118,7,62
random_sparse_b,6240,20,69,69,2,6,6,0.7777934167,2.6116516899,8.1153417609,0.709034796,0.6797466761,7,62
ulam_spaced,6240,20,69,69,1,6,6,0.7877208375,3.3539604526,8.9993126644,0.9865658802,0.3300938234,7,62
conflict_aware,6240,20,69,69,2,6,6,0.5988392793,1.3035987635,7.4874473431,0.5568875645,0.3961443266,7,62
