world,mode,seed,declared_horizon,n_f,failed,first_failure_cycle,survival_160,survival_320,mean_active_context_tokens_160,mean_active_context_tokens_320,mean_checkpoint_accuracy_160,mean_checkpoint_accuracy_320,critical_omission_rate_160,critical_omission_rate_320,mean_epsilon_160,mean_epsilon_320,minimum_margin_160,minimum_margin_320,restorations,pruned_tokens,ecc_corrections,external_retrievals,quarantines,final_config_accuracy,final_requirement_accuracy
main,restoration_stack,8163,320,321,0,,1,1,672.65,665.115625,0.9713541666666666,0.9817708333333334,0.59375,0.546875,0.4521243948343125,0.43520048414446955,0.09977387460814735,0.09977387460814735,5,240,4,58,1,1.0,1.0
main,sham_retirement_85,8163,320,321,0,,1,1,708.4,702.13125,0.921875,0.9440104166666666,0.84375,0.765625,0.6084364234961044,0.6281930176150249,-0.07817498258846234,-0.5072986705554092,3,0,0,30,1,1.0,1.0
pressure_disabled_null,capsule_baseline,8163,320,321,0,,1,1,739.61875,750.303125,0.953125,0.9596354166666666,0.8125,0.75,0.10288726733955093,0.10816492462901184,0.438128554082278,0.3340357872291415,0,0,0,31,1,1.0,1.0
pressure_disabled_null,restoration_stack,8163,320,321,0,,1,1,731.74375,738.865625,0.9713541666666666,0.9739583333333334,0.6875,0.65625,0.0946190056841497,0.0973071871626501,0.44108845265399854,0.3439233750250177,0,240,5,31,1,1.0,1.0
main,capsule_baseline,8164,320,321,0,,1,1,733.06875,741.153125,0.9739583333333334,0.9557291666666666,0.53125,0.6875,0.5396566262927547,0.5885976549340566,0.2583577675465376,-0.15889185717054666,0,0,0,32,0,1.0,1.0
main,scheduled_prune_80,8164,320,321,0,,1,1,725.19375,729.715625,0.9739583333333334,0.9557291666666666,0.53125,0.6875,0.5247641487537058,0.5640141036430945,0.2651058515462542,-0.1585406328097334,0,240,0,32,0,1.0,1.0
main,fixed_retirement_85,8164,320,321,0,,1,1,700.9125,693.996875,0.9739583333333334,0.9557291666666666,0.53125,0.703125,0.5042733012505096,0.5361775834124024,0.27434230730405174,-0.157102779612726,3,0,0,51,1,1.0,1.0
main,telemetry_breaker,8164,320,321,0,,1,1,697.8875,680.38125,0.9739583333333334,0.9609375,0.53125,0.65625,0.4940876899529175,0.49659519244134287,0.27434230730405174,-0.10726637100579173,4,0,0,55,1,1.0,1.0
main,ecc_digest,8164,320,321,0,,1,1,733.06875,741.153125,0.9895833333333334,0.9817708333333334,0.4375,0.59375,0.5216873607273984,0.5551299366827832,0.3070181846960157,-0.057996841408720856,0,0,7,30,0,1.0,1.0
main,restoration_stack,8164,320,321,0,,1,1,690.0125,680.0,0.9947916666666666,0.9856770833333334,0.40625,0.53125,0.45496076719471734,0.4668299449246319,0.3070181846960157,0.3070181846960157,3,240,6,48,0,1.0,1.0
