condition,policy,seed,cycles,violations,first_failure_cycle,n_f,final_active_unresolved,final_active_tips,max_active_unresolved,max_burial_depth,mean_top_decile_capture,mean_top_decile_expected_share,frontier_capture_lift,walker_attachment_count,walker_fallback_count,walker_fallback_rate,mean_walker_steps,largest_branch_share,branch_hhi,repair_attempts,repair_successes,repair_budget_used,recovery_probes,recovery_successes,recovery_rate,mean_recovery_cost,mean_recovery_depth,mean_interior_shielded_cycles,receipt_enabled
diffusive_first_contact,oldest_first,5158,48,15,37,37,38,15,38,8,0.2926829268292683,0.1686454947437848,0.12403743208548348,41,0,0.0,196.26829268292684,0.4473684210526316,0.27146814404432135,12,10,12,6,3,0.5,9.0,6.833333333333333,14.08695652173913,1
diffusive_first_contact,tip_targeted,5158,48,15,33,33,41,13,41,9,0.36585365853658536,0.16356484301900323,0.20228881551758213,41,0,0.0,194.9268292682927,0.8292682926829268,0.7168352171326591,12,7,12,6,4,0.6666666666666666,7.5,6.666666666666667,20.607142857142858,1
uniform_null,no_intervention,5159,48,13,35,35,48,29,48,7,0.1282051282051282,0.1662008403776447,-0.037995712172516516,0,0,,,0.7708333333333334,0.6024305555555556,0,0,0,6,1,0.16666666666666666,5.0,5.833333333333333,14.0,0
uniform_null,logging_only,5159,48,13,35,35,48,29,48,7,0.1282051282051282,0.1662008403776447,-0.037995712172516516,0,0,,,0.7708333333333334,0.6024305555555556,0,0,0,6,6,1.0,6.833333333333333,5.833333333333333,14.0,1
uniform_null,random_repair,5159,48,12,38,38,39,23,39,7,0.20512820512820512,0.17218190409959672,0.032946301028608405,0,0,,,0.717948717948718,0.5266272189349113,12,9,12,6,4,0.6666666666666666,7.0,6.333333333333333,10.625,1
uniform_null,oldest_first,5159,48,12,42,42,38,24,38,7,0.1282051282051282,0.17310631339441757,-0.04490118518928937,0,0,,,0.7105263157894737,0.5166204986149584,12,10,12,6,4,0.6666666666666666,7.0,6.333333333333333,8.571428571428571,1
uniform_null,tip_targeted,5159,48,12,38,38,37,20,37,7,0.1794871794871795,0.172727609009628,0.006759570477551491,0,0,,,0.918918918918919,0.8509861212563916,12,11,12,6,4,0.6666666666666666,6.5,5.666666666666667,11.823529411764707,1
least_capture_balancer,no_intervention,5159,48,13,35,35,48,9,48,15,1.0,0.1662008403776447,0.8337991596223553,0,0,,,0.3333333333333333,0.16666666666666666,0,0,0,6,1,0.16666666666666666,8.0,13.666666666666666,23.76923076923077,0
least_capture_balancer,logging_only,5159,48,13,35,35,48,9,48,15,1.0,0.1662008403776447,0.8337991596223553,0,0,,,0.3333333333333333,0.16666666666666666,0,0,0,6,1,0.16666666666666666,8.0,13.666666666666666,23.76923076923077,1
least_capture_balancer,random_repair,5159,48,12,42,42,36,14,36,15,0.7692307692307693,0.17330736096388621,0.5959234082668831,0,0,,,0.2777777777777778,0.14506172839506173,12,12,12,6,1,0.16666666666666666,8.0,13.666666666666666,16.5,1
least_capture_balancer,oldest_first,5159,48,12,38,38,38,9,38,15,0.9487179487179487,0.1725600206067455,0.7761579281112032,0,0,,,0.15789473684210525,0.11357340720221605,12,10,12,6,1,0.16666666666666666,8.0,13.666666666666666,17.655172413793103,1
least_capture_balancer,tip_targeted,5159,48,13,38,38,38,8,38,7,0.6666666666666666,0.17080363032250373,0.4958630363441629,0,0,,,0.3684210526315789,0.23684210526315785,12,10,12,6,4,0.6666666666666666,7.25,6.5,22.033333333333335,1
diffusive_first_contact,no_intervention,5159,48,14,35,35,48,20,48,8,0.3333333333333333,0.1662008403776447,0.1671324929556886,39,0,0.0,327.7435897435897,0.5416666666666666,0.3428819444444444,0,0,0,6,2,0.3333333333333333,4.5,5.166666666666667,21.107142857142858,0
diffusive_first_contact,logging_only,5159,48,14,35,35,48,20,48,8,0.3333333333333333,0.1662008403776447,0.1671324929556886,39,0,0.0,327.7435897435897,0.5416666666666666,0.3428819444444444,0,0,0,6,4,0.6666666666666666,5.5,5.166666666666667,21.107142857142858,1
diffusive_first_contact,random_repair,5159,48,13,38,38,37,20,37,8,0.38461538461538464,0.1716561021688904,0.21295928244649423,39,0,0.0,312.61538461538464,0.2972972972972973,0.17311906501095692,12,11,12,6,2,0.3333333333333333,6.5,7.0,16.176470588235293,1
diffusive_first_contact,oldest_first,5159,48,12,38,38,37,20,37,7,0.20512820512820512,0.17241968107012112,0.032708524058084,39,0,0.0,310.8205128205128,0.3783783783783784,0.22425127830533237,12,11,12,6,4,0.6666666666666666,5.75,5.0,12.764705882352942,1
diffusive_first_contact,tip_targeted,5159,48,12,38,38,37,10,37,12,0.46153846153846156,0.17226973355175254,0.289268727986709,39,0,0.0,280.64102564102564,0.7297297297297297,0.5821767713659606,12,11,12,6,4,0.6666666666666666,7.25,7.5,20.48148148148148,1
uniform_null,no_intervention,5160,48,14,31,31,48,26,48,6,0.12195121951219512,0.16227720948385627,-0.04032598997166115,0,0,,,0.7291666666666666,0.5494791666666665,0,0,0,6,1,0.16666666666666666,4.0,4.666666666666667,14.272727272727273,0
uniform_null,logging_only,5160,48,14,31,31,48,26,48,6,0.12195121951219512,0.16227720948385627,-0.04032598997166115,0,0,,,0.7291666666666666,0.5494791666666665,0,0,0,6,5,0.8333333333333334,5.8,4.666666666666667,14.272727272727273,1
uniform_null,random_repair,5160,48,14,39,39,36,19,36,6,0.07317073170731707,0.172318567904343,-0.09914783619702593,0,0,,,0.8055555555555556,0.6574074074074074,12,12,12,6,3,0.5,5.666666666666667,5.0,13.235294117647058,1
uniform_null,oldest_first,5160,48,14,38,38,40,21,40,6,0.14634146341463414,0.17043086914315708,-0.024089405728522945,0,0,,,0.65,0.46125000000000005,12,8,12,6,6,1.0,5.666666666666667,4.666666666666667,11.526315789473685,1
uniform_null,tip_targeted,5160,48,14,38,38,37,20,37,6,0.07317073170731707,0.16686680391102862,-0.09369607220371155,0,0,,,1.0,1.0,12,11,12,6,3,0.5,4.0,3.8333333333333335,11.352941176470589,1
least_capture_balancer,no_intervention,5160,48,14,31,31,48,7,48,7,0.926829268292683,0.16227720948385627,0.7645520588088267,0,0,,,0.16666666666666666,0.14583333333333331,0,0,0,6,1,0.16666666666666666,8.0,7.0,23.073170731707318,0
least_capture_balancer,logging_only,5160,48,14,31,31,48,7,48,7,0.926829268292683,0.16227720948385627,0.7645520588088267,0,0,,,0.16666666666666666,0.14583333333333331,0,0,0,6,3,0.5,8.0,7.0,23.073170731707318,1
least_capture_balancer,random_repair,5160,48,14,38,38,38,13,38,10,0.5121951219512195,0.1696069369777615,0.342588184973458,0,0,,,0.18421052631578946,0.14681440443213295,12,10,12,6,3,0.5,10.0,9.0,20.04,1
least_capture_balancer,oldest_first,5160,48,14,38,38,37,7,37,12,0.8292682926829268,0.172186890328676,0.6570814023542508,0,0,,,0.16216216216216217,0.14536157779401024,12,11,12,6,3,0.5,9.0,9.333333333333334,16.833333333333332,1
least_capture_balancer,tip_targeted,5160,48,13,38,38,37,8,37,6,0.7073170731707317,0.172186890328676,0.5351301828420556,0,0,,,0.1891891891891892,0.168736303871439,12,11,12,6,5,0.8333333333333334,5.2,4.5,18.103448275862068,1
diffusive_first_contact,no_intervention,5160,48,14,31,31,48,18,48,7,0.5121951219512195,0.16227720948385627,0.34991791246736326,41,0,0.0,216.8780487804878,0.4583333333333333,0.2690972222222222,0,0,0,6,0,0.0,,5.666666666666667,19.7,0
diffusive_first_contact,logging_only,5160,48,14,31,31,48,18,48,7,0.5121951219512195,0.16227720948385627,0.34991791246736326,41,0,0.0,216.8780487804878,0.4583333333333333,0.2690972222222222,0,0,0,6,4,0.6666666666666666,6.25,5.666666666666667,19.7,1
diffusive_first_contact,random_repair,5160,48,14,38,38,38,20,38,7,0.2926829268292683,0.17105281347666026,0.12163011335260801,41,0,0.0,256.1951219512195,0.2894736842105263,0.20083102493074792,12,10,12,6,5,0.8333333333333334,6.2,5.0,15.722222222222221,1
diffusive_first_contact,oldest_first,5160,48,14,38,38,39,19,39,6,0.3902439024390244,0.17033730417154333,0.21990659826748107,41,0,0.0,242.3170731707317,0.3076923076923077,0.2215647600262985,12,9,12,6,5,0.8333333333333334,6.6,5.166666666666667,15.15,1
diffusive_first_contact,tip_targeted,5160,48,13,38,38,37,14,37,8,0.36585365853658536,0.17295057933202568,0.19290307920455968,41,0,0.0,188.390243902439,0.5945945945945946,0.41855368882395916,12,11,12,6,4,0.6666666666666666,5.5,5.5,20.0,1
uniform_null,no_intervention,5161,48,14,31,31,48,26,48,6,0.18421052631578946,0.16362183843487446,0.020588687880915002,0,0,,,0.7083333333333334,0.5130208333333334,0,0,0,6,0,0.0,,5.333333333333333,18.454545454545453,0
uniform_null,logging_only,5161,48,14,31,31,48,26,48,6,0.18421052631578946,0.16362183843487446,0.020588687880915002,0,0,,,0.7083333333333334,0.5130208333333334,0,0,0,6,5,0.8333333333333334,6.4,5.333333333333333,18.454545454545453,1
uniform_null,random_repair,5161,48,14,41,41,37,24,37,6,0.18421052631578946,0.16720562674279868,0.017004899572990784,0,0,,,0.5945945945945946,0.3776479181884588,12,11,12,6,6,1.0,6.0,5.0,10.615384615384615,1
uniform_null,oldest_first,5161,48,15,41,41,38,24,38,8,0.15789473684210525,0.16954501908730965,-0.011650282245204396,0,0,,,0.5526315789473685,0.35041551246537406,12,10,12,6,4,0.6666666666666666,7.5,7.0,11.571428571428571,1
uniform_null,tip_targeted,5161,48,14,41,41,36,18,36,8,0.21052631578947367,0.1699619024995491,0.04056441328992458,0,0,,,0.9444444444444444,0.8950617283950617,12,12,12,6,5,0.8333333333333334,7.8,7.0,15.777777777777779,1
least_capture_balancer,no_intervention,5161,48,14,31,31,48,10,48,6,0.8421052631578947,0.16362183843487446,0.6784834247230203,0,0,,,0.14583333333333334,0.109375,0,0,0,6,2,0.3333333333333333,5.0,5.166666666666667,23.210526315789473,0
least_capture_balancer,logging_only,5161,48,14,31,31,48,10,48,6,0.8421052631578947,0.16362183843487446,0.6784834247230203,0,0,,,0.14583333333333334,0.109375,0,0,0,6,3,0.5,5.666666666666667,5.166666666666667,23.210526315789473,1
least_capture_balancer,random_repair,5161,48,14,41,41,40,14,40,8,0.7368421052631579,0.16774778087468273,0.5690943243884752,0,0,,,0.125,0.10375000000000001,12,8,12,6,3,0.5,7.666666666666667,6.5,16.615384615384617,1
least_capture_balancer,oldest_first,5161,48,14,41,41,38,10,38,8,0.7105263157894737,0.16917741848853085,0.5413488973009428,0,0,,,0.13157894736842105,0.10387811634349028,12,10,12,6,3,0.5,7.0,7.0,17.392857142857142,1
least_capture_balancer,tip_targeted,5161,48,14,41,41,37,12,37,4,0.7894736842105263,0.16438607787061824,0.6250876063399081,0,0,,,0.16216216216216217,0.12783053323593865,12,11,12,6,3,0.5,4.666666666666667,3.8333333333333335,21.12,1
diffusive_first_contact,no_intervention,5161,48,16,31,31,48,21,48,5,0.34210526315789475,0.16362183843487446,0.17848342472302028,38,1,0.02631578947368421,227.44736842105263,0.25,0.1501736111111111,0,0,0,6,2,0.3333333333333333,3.5,4.0,18.333333333333332,0
diffusive_first_contact,logging_only,5161,48,16,31,31,48,21,48,5,0.34210526315789475,0.16362183843487446,0.17848342472302028,38,1,0.02631578947368421,227.44736842105263,0.25,0.1501736111111111,0,0,0,6,3,0.5,4.333333333333333,4.0,18.333333333333332,1
diffusive_first_contact,random_repair,5161,48,14,41,41,39,17,39,5,0.39473684210526316,0.16400796754971617,0.230728874555547,38,1,0.02631578947368421,265.2368421052632,0.20512820512820512,0.13477975016436555,12,9,12,6,4,0.6666666666666666,4.5,3.8333333333333335,16.227272727272727,1
diffusive_first_contact,oldest_first,5161,48,14,41,41,38,20,38,5,0.39473684210526316,0.16833344629167088,0.22640339581359228,38,1,0.02631578947368421,292.2631578947368,0.18421052631578946,0.12742382271468142,12,10,12,6,4,0.6666666666666666,4.75,4.0,11.444444444444445,1
diffusive_first_contact,tip_targeted,5161,48,15,41,41,41,13,41,6,0.39473684210526316,0.16293063126855,0.23180621083671316,38,1,0.02631578947368421,267.2105263157895,0.34146341463414637,0.22546103509815588,12,7,12,6,4,0.6666666666666666,5.25,4.666666666666667,21.321428571428573,1
uniform_null,no_intervention,5162,48,13,31,31,48,29,48,4,0.06666666666666667,0.1608380969042351,-0.09417143023756842,0,0,,,0.20833333333333334,0.10937500000000001,0,0,0,6,3,0.5,3.0,3.0,17.473684210526315,0
uniform_null,logging_only,5162,48,13,31,31,48,29,48,4,0.06666666666666667,0.1608380969042351,-0.09417143023756842,0,0,,,0.20833333333333334,0.10937500000000001,0,0,0,6,4,0.6666666666666666,3.75,3.0,17.473684210526315,1
