run_family,mode,schedule,seed,cycles,n_f,failed,first_failure_cycle,mean_checkpoint_accuracy,final_config_accuracy,final_requirement_accuracy,unsafe_attempts,retry_count,repair_successes,total_tokens,subcritical_first_failure
primary,fresh_ground_truth,high_to_low,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,high_to_low,909,20,8,1,8,0.75,0.41666667,0.33333333,10,3,2,5424,1
primary,prose_summary,high_to_low,909,20,2,1,2,0.5625,0.5,0.0,19,4,1,5284,0
primary,receipt_ancestry,high_to_low,909,20,2,1,2,0.75,0.75,0.83333333,14,4,3,5681,1
primary,fresh_ground_truth,alternating,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,alternating,909,20,5,1,5,0.6875,0.58333333,0.5,15,4,3,5370,1
primary,prose_summary,alternating,909,20,5,1,5,0.54166667,0.5,0.0,16,4,1,5284,0
primary,receipt_ancestry,alternating,909,20,5,1,5,0.83333333,0.75,0.83333333,11,3,2,5671,1
primary,fresh_ground_truth,randomized,909,20,21,0,,1.0,1.0,1.0,0,0,0,5800,0
primary,persistent_history,randomized,909,20,1,1,1,0.60416667,0.41666667,0.33333333,17,4,3,5385,1
primary,prose_summary,randomized,909,20,2,1,2,0.625,0.5,0.0,18,4,1,5284,0
primary,receipt_ancestry,randomized,909,20,10,1,10,0.875,1.0,1.0,7,3,2,5688,1
primary,fresh_ground_truth,low_to_high,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,low_to_high,1010,20,10,1,10,0.72916667,0.5,0.33333333,10,3,2,5225,1
primary,prose_summary,low_to_high,1010,20,9,1,9,0.5625,0.25,0.16666667,12,4,2,5304,1
primary,receipt_ancestry,low_to_high,1010,20,5,1,5,0.47916667,0.41666667,0.66666667,12,4,3,5662,1
primary,fresh_ground_truth,high_to_low,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,high_to_low,1010,20,7,1,7,0.60416667,0.16666667,0.0,14,3,1,5434,1
primary,prose_summary,high_to_low,1010,20,1,1,1,0.4375,0.33333333,0.33333333,19,4,2,5304,0
primary,receipt_ancestry,high_to_low,1010,20,3,1,3,0.5625,0.66666667,0.66666667,13,4,3,5701,1
primary,fresh_ground_truth,alternating,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,alternating,1010,20,15,1,15,0.79166667,0.33333333,0.16666667,5,2,1,5340,1
primary,prose_summary,alternating,1010,20,1,1,1,0.47916667,0.08333333,0.16666667,17,4,2,5304,0
primary,receipt_ancestry,alternating,1010,20,9,1,9,0.625,0.25,0.5,8,3,3,5677,1
primary,fresh_ground_truth,randomized,1010,20,21,0,,1.0,1.0,1.0,0,0,0,5820,0
primary,persistent_history,randomized,1010,20,4,1,4,0.5625,0.08333333,0.0,17,4,1,5399,1
primary,prose_summary,randomized,1010,20,2,1,2,0.5,0.5,0.16666667,19,4,2,5304,1
primary,receipt_ancestry,randomized,1010,20,1,1,1,0.5625,0.5,0.83333333,12,4,3,5686,1
primary,fresh_ground_truth,low_to_high,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,low_to_high,1111,20,5,1,5,0.35416667,0.08333333,0.0,16,4,1,5225,1
primary,prose_summary,low_to_high,1111,20,5,1,5,0.54166667,0.41666667,0.33333333,11,4,4,5294,1
primary,receipt_ancestry,low_to_high,1111,20,5,1,5,0.64583333,0.58333333,1.0,8,4,3,5659,1
primary,fresh_ground_truth,high_to_low,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,high_to_low,1111,20,3,1,3,0.29166667,0.16666667,0.0,18,4,0,5434,1
primary,prose_summary,high_to_low,1111,20,3,1,3,0.60416667,0.83333333,1.0,12,4,4,5294,0
primary,receipt_ancestry,high_to_low,1111,20,2,1,2,0.75,0.83333333,1.0,10,4,3,5691,1
primary,fresh_ground_truth,alternating,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,alternating,1111,20,5,1,5,0.45833333,0.08333333,0.0,12,4,1,5370,1
primary,prose_summary,alternating,1111,20,5,1,5,0.58333333,0.5,0.5,9,4,4,5294,0
primary,receipt_ancestry,alternating,1111,20,5,1,5,0.70833333,0.5,0.83333333,4,4,3,5688,1
primary,fresh_ground_truth,randomized,1111,20,21,0,,1.0,1.0,1.0,0,0,0,5810,0
primary,persistent_history,randomized,1111,20,2,1,2,0.4375,0.08333333,0.0,19,4,1,5325,1
primary,prose_summary,randomized,1111,20,1,1,1,0.58333333,0.41666667,0.66666667,15,4,4,5294,0
primary,receipt_ancestry,randomized,1111,20,10,1,10,0.72916667,0.33333333,0.66666667,8,3,2,5681,1
primary,fresh_ground_truth,low_to_high,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
primary,persistent_history,low_to_high,1212,20,12,1,12,0.85416667,0.75,0.5,4,2,1,5185,1
primary,prose_summary,low_to_high,1212,20,5,1,5,0.6875,0.58333333,0.16666667,9,4,3,5264,1
primary,receipt_ancestry,low_to_high,1212,20,10,1,10,0.8125,0.75,0.5,8,4,3,5636,1
primary,fresh_ground_truth,high_to_low,1212,20,21,0,,1.0,1.0,1.0,0,0,0,5780,0
